Offer                                               Publisher                           Sku                                                Urn                                                                                                                               Version
cis-windows-server-2012-v2-0-1-l2                   center-for-internet-security-inc    cis-ws2012-l2                                      center-for-internet-security-inc:cis-windows-server-2012-v2-0-1-l2:cis-ws2012-l2:2.2.3                                            2.2.3
cis-windows-server-2012-v2-0-1-l2                   center-for-internet-security-inc    cis-ws2012-l2                                      center-for-internet-security-inc:cis-windows-server-2012-v2-0-1-l2:cis-ws2012-l2:2.2.4                                            2.2.4
jenkins-windows-2019                                cloud-infrastructure-services       jenkins-windows-2019                               cloud-infrastructure-services:jenkins-windows-2019:jenkins-windows-2019:0.0.2                                                     0.0.2
iis-on-windows-server-2016-cm                       cloudmavensolutions                 iis-on-windows-server-2016-cm                      cloudmavensolutions:iis-on-windows-server-2016-cm:iis-on-windows-server-2016-cm:1.2019.1009                                       1.2019.1009
iis-on-windows-server-2016                          apps-4-rent                         iis-on-windows-server-2016-v1                      apps-4-rent:iis-on-windows-server-2016:iis-on-windows-server-2016-v1:1.1.1                                                        1.1.1
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1                                      center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1:1.2.2                                            1.2.2
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1                                      center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1:1.2.3                                            1.2.3
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1                                      center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1:1.2.4                                            1.2.4
softether-vpn-windows2016                           cloud-infrastructure-services       softether-vpn-windows-2016                         cloud-infrastructure-services:softether-vpn-windows2016:softether-vpn-windows-2016:0.0.1                                          0.0.1
iis-on-windows-server-2019                          apps-4-rent                         iis-on-windows-server-2019-v1                      apps-4-rent:iis-on-windows-server-2019:iis-on-windows-server-2019-v1:1.1.1                                                        1.1.1
iis-on-windows-server-2019-cm                       cloudmavensolutions                 iis-on-windows-server-2019-cm                      cloudmavensolutions:iis-on-windows-server-2019-cm:iis-on-windows-server-2019-cm:1.2019.1010                                       1.2019.1010
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1-private0                             center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1-private0:1.2.2                                   1.2.2
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1-private0                             center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1-private0:1.2.3                                   1.2.3
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1-private0                             center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1-private0:1.2.4                                   1.2.4
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1-volvo_privateoffer                   center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1-volvo_privateoffer:1.2.2                         1.2.2
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1-volvo_privateoffer                   center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1-volvo_privateoffer:1.2.3                         1.2.3
cis-windows-server-2016-v1-0-0-l1                   center-for-internet-security-inc    cis-ws2016-l1-volvo_privateoffer                   center-for-internet-security-inc:cis-windows-server-2016-v1-0-0-l1:cis-ws2016-l1-volvo_privateoffer:1.2.4                         1.2.4
softether-vpn-windows2019                           cloud-infrastructure-services       softether-vpn-windows-2019                         cloud-infrastructure-services:softether-vpn-windows2019:softether-vpn-windows-2019:0.0.1                                          0.0.1
joket-on-windows-2019                               apps-4-rent                         joket-on-windows-2019                              apps-4-rent:joket-on-windows-2019:joket-on-windows-2019:1.0.0                                                                     1.0.0
wordpress-with-windows-server-2016-cm               cloudmavensolutions                 wordpress-with-windows-server-2016                 cloudmavensolutions:wordpress-with-windows-server-2016-cm:wordpress-with-windows-server-2016:1.2020.1010                          1.2020.1010
